stop_id,stop_name,stop_lat,stop_lon,location_type
4908,50361 - BİLİM SOKAK,41.251685,36.360992,0
4940,12861 - YILDIRIM BEYAZIT OKULU,41.26789,36.312522,0
5044,30751 - KÜLTÜR KENT,41.4122,36.1755,0
5059,30702 - ALTINKUM,41.4021,36.1885,0
5083,12522 - ALTINÖZÜ CADDESİ,41.310854,36.31457,0
5095,11351 - TUNA PARKI,41.275156,36.329227,0
5107,32471 - ALİ FUAT BAŞGİL YURDU,41.3325,36.248,0
5168,13142 - DERECİK PARKI,41.2996905571305,36.2811734540847,0
5235,33041 - BOSTANCI BULVARI,41.3534329165773,36.2068218188749,0
5285,60161 - KİRAZLIK 4,41.224449,36.438241,0
5441,31881 - BORNOVA CADDESİ,41.322824,36.280285,0
5459,12241 - SORGUN SOKAK 1,41.3151237674248,36.3211285598024,0
5520,33302 - ATAKENT TRAMVAY İSTASYONU,41.343714,36.244695,0
5526,33471 - ALANLI MUHTARLIĞI,41.3319290651413,36.2050692816847,0
5608,12772 - SAĞLIK KENT,41.263686,36.326579,0
5652,11601 - OĞUZ TÜRKLERİ SOKAK,41.286289,36.313923,0
5669,11141 - ŞEHİT PİYADE UZMAN ÇAVUŞ METE YAHŞİ,41.282798224271,36.3164733861954,0
5686,50582 - ŞEHİT MESUT BİRİNCİ CADDE,41.258195,36.356717,0
5761,31241 - 376.SOKAK,41.3202,36.2928,0
5775,31182 - AKÇA KALE SOKAK 2,41.310466,36.290789,0
5786,32892 - SAMSUN CADDESİ 1,41.3502063553451,36.2312518087962,0
5812,33052 - BOSTANCI BULVARI 1,41.353378,36.205033,0
5901,12722 - DURUŞEHİR 2,41.266978,36.33036,0
5911,31462 - RECEP TAYYİP ERDOĞAN BULVARI KAVŞAĞI,41.334589,36.254556,0
5918,11272 - GEBİ CADDESİ,41.272476,36.320927,0
5961,65141 - ÇINARLIK MAHALLESİ 1,41.2603685674665,36.5376818557978,0
6109,10232 - BELEDİYE İLKÖĞRETİM OKULU,41.282105,36.333418,0
6222,33911 - AŞAĞI AKSU,41.354097,36.159314,0
6265,60971 - YAVUZLAR,41.20115,36.472741,0
6276,13571 - BAHÇE SOKAK,41.265179,36.338662,0
6301,10842 - 1006.SOKAK,41.252266,36.306148,0
6430,73021 - KARAKÖY,41.518157,36.007246,0
6437,70131 - KIZILIRMAK DELTASI,41.593987,36.113402,0
8006,13401 - TOYBELEN MAHALLESİ,41.3055,36.2512,0
8040,12904 - HİZMET BİNASI,41.4451,36.4949,0
10058,65602 - Atatürk Bulvarı ,41.20818,36.690225,0
10089,78072 - Şehit çavuş Murat Var,41.22065,36.862689,0
911,Atakum Bld,41.32695997538473,36.286601069742645,0
4716,60072 - KİRAZLIK KÖPRÜSÜ,41.23824,36.410026,0
4736,12421 - KALKANCA KURAN KURSU,41.3194,36.3149,0
4797,12021 - HACI OSMAN CAMİ,41.2882,36.312,0
4839,30462 - TUĞBA EVLERİ,41.3537,36.2392,0
4844,31522 - GAFFAR OKKAN KAVŞAĞI,41.342716,36.242051,0
4875,11131 - KADIKÖY KAVŞAĞI,41.2807034949297,36.3196907522398,0
4881,11021 - CUMHURİYET ANADOLU,41.2762667536791,36.3291536657216,0
4909,50351 - ALTINTEPE SOKAK,41.2491,36.3607,0
5029,30392 - OLİMPİK YÜZME HAVUZU,41.342542,36.255614,0
5080,12251 - ONUR SİTESİ,41.313929,36.321084,0
5177,13392 - 1264.SOKAK,41.304,36.2504,0
5263,10242 - YENİ KARAKOL,41.286559,36.330232,0
5311,12322 - AMİSOS,41.31150104,36.31564233,0
5411,50371 - ÜSKÜP CADDESİ 1,41.252307,36.364374,0
5465,12111 - COŞKUNLAR,41.295529,36.315956,0
5491,32481 - TEPECİK DURAĞI,41.331277,36.246375,0
5505,31452 - ATAKUM SPOR TESİSLERİ,41.3336,36.258031,0
5598,12532 - KESKİNLER,41.3094512624107,36.3152710729694,0
5609,12782 - SAĞLIK KONUTLARI,41.263343,36.324267,0
5614,12851 - KIŞLA MAHALLESİ,41.268553,36.313811,0
5653,11591 - KADIKÖY PARKI,41.287439,36.319706,0
5748,31112 - 604.SOKAK,41.3197,36.2947,0
5774,31192 - AKÇA KALE SOKAK 1,41.310807,36.289172,0
5813,33092 - TOPLU KONUT BULVARI 1,41.353532,36.203472,0
5919,11262 - İSTANBUL CADDESİ,41.273224,36.32286,0
5962,65151 - ÇINARLIK YALI MERKEZ CAMİ,41.2624,36.539,0
6063,33481 - ALANLI 4,41.3322,36.2029,0
6122,31871 - BORNOVA CADDESİ 1,41.322833,36.27772,0
6134,32121 - BALAÇ YOLU,41.31113,36.269601,0
6137,32811 - SAMSUN CADDESİ 3,41.348001,36.231048,0
